epoch,val_loss,val_accuracy,fold
30,0.6004568930430751,0.7222222222222222,1
30,0.2353731790143582,0.9444444444444444,2
30,0.2937076547402992,0.8888888888888888,3
30,0.4378538835379812,0.8888888888888888,4
30,0.3543124203570187,0.8888888888888888,5
30,0.5633824370387528,0.7222222222222222,6
30,0.2705103592274503,0.9444444444444444,7
30,0.6095014601014555,0.7777777777777778,8
30,0.3906448998669576,0.8888888888888888,9
30,0.2360248892994908,0.9444444444444444,10
30,0.3991768076226839,0.861111111111111,mean
