epoch,val_loss,val_accuracy,fold
57,0.6515937188267708,0.62,1
57,0.6595687049627305,0.6,2
57,0.6063218000531196,0.69,3
57,0.6376807168871165,0.68,4
57,0.6061054033786059,0.66,5
57,0.6554617027938366,0.58,6
57,0.6522698998451233,0.63,7
57,0.6125429612398148,0.77,8
57,0.6499197781085968,0.62,9
57,0.596526792049408,0.73,10
57,0.6327991478145123,0.658,mean
