experiment_name,epoch,train_loss,train_accuracy,val_loss,val_accuracy,timestamp
10fold_cross_validation,0,0.691028650270568,0.5366666666666666,0.6842404723167419,0.57,2026_04_24_22_05_01
10fold_cross_validation,1,0.6756166832314597,0.6155555555555555,0.6840338283777236,0.57,2026_04_24_22_05_01
10fold_cross_validation,2,0.6643171259098583,0.6133333333333333,0.6546987602114678,0.65,2026_04_24_22_05_01
10fold_cross_validation,3,0.6454264755050342,0.6211111111111111,0.6429649397730828,0.69,2026_04_24_22_05_01
10fold_cross_validation,4,0.6485480772124397,0.61,0.6366945183277131,0.65,2026_04_24_22_05_01
10fold_cross_validation,5,0.6320555159118441,0.6344444444444445,0.6685842037200928,0.67,2026_04_24_22_05_01
10fold_cross_validation,6,0.6566804048005077,0.6388888888888888,0.6274023950099945,0.64,2026_04_24_22_05_01
10fold_cross_validation,7,0.6395326287464963,0.6211111111111111,0.6941429296135903,0.64,2026_04_24_22_05_01
10fold_cross_validation,8,0.6378552316294777,0.6466666666666666,0.6603646859526634,0.71,2026_04_24_22_05_01
10fold_cross_validation,9,0.65819664084663,0.6366666666666667,0.6583155712485314,0.73,2026_04_24_22_05_01
10fold_cross_validation,10,0.6456058747900857,0.6466666666666666,0.697190934419632,0.59,2026_04_24_22_05_01
10fold_cross_validation,11,0.6643601880967617,0.6188888888888889,0.6461915290355682,0.66,2026_04_24_22_05_01
10fold_cross_validation,12,0.6409504476851887,0.6544444444444445,0.6386742815375328,0.7,2026_04_24_22_05_01
10fold_cross_validation,13,0.6424822685950332,0.6611111111111111,0.644174108505249,0.74,2026_04_24_22_05_01
10fold_cross_validation,14,0.6432294196387132,0.6566666666666666,0.6621648886799812,0.6,2026_04_24_22_05_01
10fold_cross_validation,15,0.6311880765855312,0.66,0.6485762730240822,0.63,2026_04_24_22_05_01
10fold_cross_validation,16,0.6439922128700548,0.6344444444444445,0.6601778469979763,0.64,2026_04_24_22_05_01
10fold_cross_validation,17,0.6429267892903752,0.6355555555555555,0.676037593781948,0.6,2026_04_24_22_05_01
