epoch,val_loss,val_accuracy,fold
195,0.4886536385292989,0.7785888077858881,1
195,0.4780704860808894,0.7907542579075426,2
195,0.4809016361000575,0.7980535279805353,3
195,0.4875565201399277,0.7688564476885644,4
195,0.4452428858242294,0.8029197080291971,5
195,0.4910103892273023,0.7737226277372263,6
195,0.4797543587974315,0.7639902676399026,7
195,0.5541988939608826,0.7420924574209246,8
195,0.4650766991841926,0.7834549878345499,9
195,0.5350434278815513,0.781021897810219,10
195,0.4905508935725763,0.778345498783455,mean
