epoch,val_loss,val_accuracy,fold
86,0.7511454013486704,0.6576576576576577,1
86,0.6518999107222107,0.7567567567567568,2
86,0.5746785314328369,0.7657657657657657,3
86,0.4738381230985528,0.8018018018018018,4
86,0.5901287091845596,0.6756756756756757,5
86,0.6698379960699795,0.6036036036036037,6
86,0.4912086753426371,0.7747747747747747,7
86,0.5856285849099201,0.8018018018018018,8
86,0.548731334725613,0.7117117117117117,9
86,1.5144699652663212,0.6756756756756757,10
86,0.6851567232101301,0.7225225225225225,mean
