experiment_name,epoch,train_loss,train_accuracy,val_loss,val_accuracy,timestamp
10fold_cross_validation,0,0.6634184225918345,0.6004325493376588,0.6241411166854764,0.6277372262773723,2026_04_11_15_20_48
10fold_cross_validation,1,0.6165137273332413,0.6599080832657475,0.6332580437158617,0.6618004866180048,2026_04_11_15_20_48
10fold_cross_validation,2,0.6004541536963566,0.6753176534198432,0.6119974004184043,0.6593673965936739,2026_04_11_15_20_48
10fold_cross_validation,3,0.5930109961179862,0.6885644768856448,0.6106986353114936,0.6715328467153284,2026_04_11_15_20_48
10fold_cross_validation,4,0.579675025300977,0.6985671803190051,0.631581641848079,0.681265206812652,2026_04_11_15_20_48
10fold_cross_validation,5,0.5798482076962906,0.7023519870235199,0.6410497238773426,0.6545012165450121,2026_04_11_15_20_48
10fold_cross_validation,6,0.5674255217030739,0.7050554203838876,0.5961843650627183,0.681265206812652,2026_04_11_15_20_48
10fold_cross_validation,7,0.562131112487118,0.7210056772100568,0.5895470048815302,0.683698296836983,2026_04_11_15_20_48
10fold_cross_validation,8,0.554837195165823,0.7237091105704244,0.5854299507758732,0.6958637469586375,2026_04_11_15_20_48
10fold_cross_validation,9,0.5475328845843355,0.7285752906190862,0.5923903644211826,0.6861313868613139,2026_04_11_15_20_48
10fold_cross_validation,10,0.5425815070727772,0.7312787239794539,0.6063868041238646,0.6763990267639902,2026_04_11_15_20_48
10fold_cross_validation,11,0.5337711760567042,0.7385779940524466,0.578587039367017,0.6934306569343066,2026_04_11_15_20_48
10fold_cross_validation,12,0.527740327133534,0.745066234117329,0.5851732972474574,0.6958637469586375,2026_04_11_15_20_48
10fold_cross_validation,13,0.5218041289653644,0.7474993241416599,0.5598579921721143,0.7031630170316302,2026_04_11_15_20_48
10fold_cross_validation,14,0.5163018300275314,0.7545282508786159,0.560222546853252,0.6934306569343066,2026_04_11_15_20_48
10fold_cross_validation,15,0.5099010893782472,0.7593944309272777,0.5658979100308895,0.6934306569343066,2026_04_11_15_20_48
10fold_cross_validation,16,0.5109470356258288,0.7618275209516085,0.5834793447723063,0.6909975669099757,2026_04_11_15_20_48
10fold_cross_validation,17,0.5056278621432958,0.7645309543119763,0.5529657517018255,0.7177615571776156,2026_04_11_15_20_48
10fold_cross_validation,18,0.4975125832069251,0.7731819410651527,0.5603732309755111,0.7153284671532847,2026_04_11_15_20_48
10fold_cross_validation,19,0.4937109464377157,0.7734522844011895,0.5933010096632289,0.6861313868613139,2026_04_11_15_20_48
10fold_cross_validation,20,0.4888024763068198,0.7745336577453366,0.542451059137564,0.7153284671532847,2026_04_11_15_20_48
10fold_cross_validation,21,0.4838577638989277,0.771830224384969,0.5399141295103769,0.7250608272506083,2026_04_11_15_20_48
10fold_cross_validation,22,0.4856110135215191,0.7785888077858881,0.5778307115156067,0.708029197080292,2026_04_11_15_20_48
10fold_cross_validation,23,0.4793940388406701,0.7785888077858881,0.5352500061710748,0.7250608272506083,2026_04_11_15_20_48
10fold_cross_validation,24,0.4768620709566111,0.7802108678021087,0.5668317438205228,0.6982968369829684,2026_04_11_15_20_48
10fold_cross_validation,25,0.4726150431308948,0.7853473911868073,0.5247830542987281,0.7493917274939172,2026_04_11_15_20_48
10fold_cross_validation,26,0.4744762670466282,0.7877804812111382,0.549188404142349,0.7201946472019465,2026_04_11_15_20_48
10fold_cross_validation,27,0.4702895653851292,0.7839956745066234,0.5331339283127999,0.7274939172749392,2026_04_11_15_20_48
10fold_cross_validation,28,0.4661750237518636,0.7839956745066234,0.5313203409223516,0.7372262773722628,2026_04_11_15_20_48
10fold_cross_validation,29,0.4620166250197889,0.7912949445796161,0.5479651684181679,0.732360097323601,2026_04_11_15_20_48
10fold_cross_validation,30,0.4618088910142153,0.7896728845633955,0.537485846461062,0.732360097323601,2026_04_11_15_20_48
10fold_cross_validation,31,0.4610056101741578,0.7912949445796161,0.5374093921832432,0.732360097323601,2026_04_11_15_20_48
10fold_cross_validation,32,0.4558884221914411,0.7923763179237632,0.5139484046811097,0.7445255474452555,2026_04_11_15_20_48
10fold_cross_validation,33,0.4530852161001421,0.7958907812922411,0.5151468035776322,0.7591240875912408,2026_04_11_15_20_48
10fold_cross_validation,34,0.4516642856930044,0.7945390646120574,0.5251783139033837,0.7396593673965937,2026_04_11_15_20_48
10fold_cross_validation,35,0.4441753214174314,0.8012976480129764,0.5235055173246458,0.7518248175182481,2026_04_11_15_20_48
10fold_cross_validation,36,0.4423184686827076,0.8048121113814545,0.5389431285198297,0.7274939172749392,2026_04_11_15_20_48
10fold_cross_validation,37,0.4461163859932741,0.7999459313327927,0.5158680414944126,0.7639902676399026,2026_04_11_15_20_48
10fold_cross_validation,38,0.44083616758487,0.7999459313327927,0.5103104533650289,0.7566909975669099,2026_04_11_15_20_48
10fold_cross_validation,39,0.4377174717443384,0.8107596647742633,0.5145364143815426,0.7639902676399026,2026_04_11_15_20_48
10fold_cross_validation,40,0.4277349586829455,0.8131927547985942,0.513672175427441,0.7688564476885644,2026_04_11_15_20_48
10fold_cross_validation,41,0.4302316177074922,0.8110300081103001,0.5149418300724704,0.7615571776155717,2026_04_11_15_20_48
10fold_cross_validation,42,0.4260489313117203,0.8140037848067045,0.5061338604155955,0.7518248175182481,2026_04_11_15_20_48
10fold_cross_validation,43,0.427201283705139,0.8115706947823736,0.5099166591862475,0.7615571776155717,2026_04_11_15_20_48
10fold_cross_validation,44,0.4261167831839774,0.8126520681265207,0.517952741914567,0.7615571776155717,2026_04_11_15_20_48
10fold_cross_validation,45,0.421062197069184,0.8140037848067045,0.5146663140804664,0.7566909975669099,2026_04_11_15_20_48
10fold_cross_validation,46,0.4181492681034457,0.813463098134631,0.4997718236692376,0.7737226277372263,2026_04_11_15_20_48
10fold_cross_validation,47,0.4181486546822551,0.8156258448229251,0.4950952740712431,0.7664233576642335,2026_04_11_15_20_48
10fold_cross_validation,48,0.4222280649545346,0.8115706947823736,0.4943631416205951,0.7664233576642335,2026_04_11_15_20_48
10fold_cross_validation,49,0.4158471026562333,0.8177885915112193,0.4968460469434169,0.7566909975669099,2026_04_11_15_20_48
10fold_cross_validation,50,0.4141956365563551,0.8196809948634766,0.4905690752987244,0.7858880778588808,2026_04_11_15_20_48
10fold_cross_validation,51,0.4113693088207471,0.8202216815355502,0.5097807114830563,0.7688564476885644,2026_04_11_15_20_48
10fold_cross_validation,52,0.4036741421301654,0.8253582049202487,0.4951140721081563,0.7737226277372263,2026_04_11_15_20_48
10fold_cross_validation,53,0.4048395902186553,0.825087861584212,0.5047568336498545,0.7615571776155717,2026_04_11_15_20_48
10fold_cross_validation,54,0.4012804774894291,0.8245471749121385,0.492879492601203,0.7688564476885644,2026_04_11_15_20_48
10fold_cross_validation,55,0.4007196283611466,0.8294133549608003,0.5215896982254932,0.7883211678832117,2026_04_11_15_20_48
10fold_cross_validation,56,0.4004556730900198,0.8234658015679913,0.4782091679930723,0.7834549878345499,2026_04_11_15_20_48
10fold_cross_validation,57,0.3980593461111272,0.8272506082725061,0.4914763280277768,0.7785888077858881,2026_04_11_15_20_48
10fold_cross_validation,58,0.3976957239274179,0.8286023249526899,0.481915813174502,0.781021897810219,2026_04_11_15_20_48
10fold_cross_validation,59,0.3934207020897597,0.8342795350094621,0.4869167633867911,0.7956204379562044,2026_04_11_15_20_48
10fold_cross_validation,60,0.3866428362893478,0.8315761016490943,0.4811331007302197,0.7931873479318735,2026_04_11_15_20_48
10fold_cross_validation,61,0.3813813845278299,0.8380643417139767,0.4753658265224375,0.7858880778588808,2026_04_11_15_20_48
10fold_cross_validation,62,0.3814462438627582,0.838875371722087,0.4782664302550709,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,63,0.3810926128745836,0.8407677750743444,0.4800730746708484,0.7883211678832117,2026_04_11_15_20_48
10fold_cross_validation,64,0.3809332354981216,0.8340091916734252,0.4741118315467384,0.7931873479318735,2026_04_11_15_20_48
10fold_cross_validation,65,0.3784196270604837,0.8426601784266018,0.4698598533404261,0.8004866180048662,2026_04_11_15_20_48
10fold_cross_validation,66,0.375799736700812,0.836712625033793,0.4752494191771844,0.7761557177615572,2026_04_11_15_20_48
10fold_cross_validation,67,0.373856391362437,0.8402270884022709,0.4851055341017027,0.7834549878345499,2026_04_11_15_20_48
10fold_cross_validation,68,0.3710698019793731,0.8467153284671532,0.4788567230735345,0.7858880778588808,2026_04_11_15_20_48
10fold_cross_validation,69,0.3703692981357822,0.8418491484184915,0.4924391429835065,0.7761557177615572,2026_04_11_15_20_48
10fold_cross_validation,70,0.3698568933739202,0.838875371722087,0.4934930022348623,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,71,0.3678435533877515,0.8488780751554474,0.4787660291101336,0.7834549878345499,2026_04_11_15_20_48
10fold_cross_validation,72,0.36576997540301,0.8513111651797783,0.4734782329429091,0.7834549878345499,2026_04_11_15_20_48
10fold_cross_validation,73,0.3643756148557194,0.8442822384428224,0.4813101569863621,0.7834549878345499,2026_04_11_15_20_48
10fold_cross_validation,74,0.362107387694542,0.8510408218437415,0.4730618597869931,0.7980535279805353,2026_04_11_15_20_48
10fold_cross_validation,75,0.3616252027112219,0.8445525817788592,0.4827320369093202,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,76,0.3628700375436093,0.845904298459043,0.4677451826830863,0.8004866180048662,2026_04_11_15_20_48
10fold_cross_validation,77,0.3597328102268494,0.8502297918356313,0.4730022685631199,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,78,0.3551189099224729,0.8450932684509327,0.4712130092952566,0.7883211678832117,2026_04_11_15_20_48
10fold_cross_validation,79,0.3544272135116842,0.8534739118680724,0.4652071482747784,0.7980535279805353,2026_04_11_15_20_48
10fold_cross_validation,80,0.3495931729362639,0.8542849418761828,0.4789132948048807,0.7785888077858881,2026_04_11_15_20_48
10fold_cross_validation,81,0.3469999836109202,0.8577994052446607,0.4726296176045109,0.7956204379562044,2026_04_11_15_20_48
10fold_cross_validation,82,0.3496075876362553,0.8537442552041092,0.468843790834799,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,83,0.3507347605334054,0.8553663152203298,0.4651765888378391,0.7980535279805353,2026_04_11_15_20_48
10fold_cross_validation,84,0.3478913285401173,0.8594214652608814,0.4636587215647829,0.7956204379562044,2026_04_11_15_20_48
10fold_cross_validation,85,0.342083220222069,0.8605028386050284,0.4750623750642572,0.7931873479318735,2026_04_11_15_20_48
10fold_cross_validation,86,0.343565368388192,0.8596918085969181,0.457960406964681,0.7980535279805353,2026_04_11_15_20_48
10fold_cross_validation,87,0.3414015546948408,0.858610435252771,0.501239243425047,0.7761557177615572,2026_04_11_15_20_48
10fold_cross_validation,88,0.3425202869145347,0.8591511219248446,0.4684490437436409,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,89,0.337952369736937,0.863206271965396,0.4650756758536464,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,90,0.3401178108598376,0.8596918085969181,0.4710038840471044,0.7956204379562044,2026_04_11_15_20_48
10fold_cross_validation,91,0.3375694554650156,0.863206271965396,0.4740452624271383,0.7980535279805353,2026_04_11_15_20_48
10fold_cross_validation,92,0.3342158530636296,0.8640173019735063,0.4681961365628176,0.7931873479318735,2026_04_11_15_20_48
10fold_cross_validation,93,0.3331874617819882,0.8640173019735063,0.4866230449743496,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,94,0.3354332853111729,0.8637469586374696,0.4613974695402671,0.8029197080291971,2026_04_11_15_20_48
10fold_cross_validation,95,0.330049395710396,0.8672614220059476,0.4650218212734024,0.7956204379562044,2026_04_11_15_20_48
10fold_cross_validation,96,0.3293067327805263,0.8669910786699108,0.4629548968059813,0.7931873479318735,2026_04_11_15_20_48
10fold_cross_validation,97,0.3281607886706585,0.8669910786699108,0.4678076671469285,0.7956204379562044,2026_04_11_15_20_48
10fold_cross_validation,98,0.3289906421148679,0.8653690186536902,0.4618517053043758,0.7907542579075426,2026_04_11_15_20_48
10fold_cross_validation,99,0.3331365168680519,0.8623952419572858,0.4724997319180548,0.7858880778588808,2026_04_11_15_20_48
10fold_cross_validation,100,0.3252131478204718,0.8659097053257637,0.4565392243961969,0.8029197080291971,2026_04_11_15_20_48
10fold_cross_validation,101,0.3198645408007064,0.8737496620708299,0.4664146453888527,0.8004866180048662,2026_04_11_15_20_48
