epoch,val_loss,val_accuracy,fold
134,0.5035268833867464,0.7785888077858881,1
134,0.4682603862664445,0.8150851581508516,2
134,0.4648101272335794,0.8175182481751825,3
134,0.5174805691597163,0.7858880778588808,4
134,0.437441034243927,0.7907542579075426,5
134,0.4750217407660835,0.8029197080291971,6
134,0.4890991475261519,0.8029197080291971,7
134,0.5285378885002231,0.7664233576642335,8
134,0.3832134395816398,0.8369829683698297,9
134,0.524113493983817,0.7834549878345499,10
134,0.47915047106483294,0.7980535279805353,mean
