epoch,val_loss,val_accuracy,fold
186,0.5252255748905278,0.7445255474452555,1
186,0.5025531376378923,0.7785888077858881,2
186,0.5147058629768463,0.7639902676399026,3
186,0.4766561823224064,0.7761557177615572,4
186,0.4951800377540961,0.7712895377128953,5
186,0.519559801342317,0.7907542579075426,6
186,0.5004908068064791,0.7591240875912408,7
186,0.5624894498509793,0.7299270072992701,8
186,0.4885124409630206,0.781021897810219,9
186,0.5686008528831195,0.732360097323601,10
186,0.5153974147427685,0.7627737226277372,mean
