epoch,val_loss,val_accuracy,fold
12,0.600025856078745,0.6936936936936937,1
12,0.4134877183378111,0.7837837837837838,2
12,0.6030048631915093,0.7207207207207207,3
12,0.5226523106277192,0.8198198198198198,4
12,0.5743700404617902,0.7117117117117117,5
12,0.5185222118119667,0.7567567567567568,6
12,0.4070459546370281,0.7927927927927928,7
12,0.4249135566296408,0.8198198198198198,8
12,0.5091858273455957,0.7477477477477478,9
12,0.530425833011655,0.7927927927927928,10
12,0.5103634172133461,0.7639639639639639,mean
